Frame,ID,X,Y,Area,Solidity,Ratio,VX,VY
73,7,266,242,231,0.6754,0.0000,1.0000,2.0000
73,8,271,261,950,0.5432,0.0000,1.0000,6.0000
74,7,267,244,231,0.6754,0.0000,1.0000,2.0000
74,8,272,267,950,0.5432,0.0000,1.0000,6.0000
75,7,268,246,231,0.6754,0.0000,1.0000,2.0000
75,8,273,273,950,0.5432,0.0000,1.0000,6.0000
76,7,269,248,231,0.6754,0.0000,1.0000,2.0000
76,8,274,279,950,0.5432,0.0000,1.0000,6.0000
77,7,270,250,231,0.6754,0.0000,1.0000,2.0000
77,8,275,285,950,0.5432,0.0000,1.0000,6.0000
78,7,271,252,231,0.6754,0.0000,1.0000,2.0000
78,8,276,291,950,0.5432,0.0000,1.0000,6.0000
79,7,272,254,231,0.6754,0.0000,1.0000,2.0000
79,8,277,297,950,0.5432,0.0000,1.0000,6.0000
80,7,273,256,231,0.6754,0.0000,1.0000,2.0000
80,8,278,303,950,0.5432,0.0000,1.0000,6.0000
81,7,274,258,231,0.6754,0.0000,1.0000,2.0000
81,8,279,309,950,0.5432,0.0000,1.0000,6.0000
82,7,275,260,231,0.6754,0.0000,1.0000,2.0000
82,8,280,315,950,0.5432,0.0000,1.0000,6.0000
83,7,276,262,231,0.6754,0.0000,1.0000,2.0000
83,8,281,321,950,0.5432,0.0000,1.0000,6.0000
84,7,277,264,231,0.6754,0.0000,1.0000,2.0000
84,8,282,327,950,0.5432,0.0000,1.0000,6.0000
85,7,278,266,231,0.6754,0.0000,1.0000,2.0000
85,8,283,333,950,0.5432,0.0000,1.0000,6.0000
86,7,279,268,231,0.6754,0.0000,1.0000,2.0000
86,8,284,339,950,0.5432,0.0000,1.0000,6.0000
87,7,280,270,231,0.6754,0.0000,1.0000,2.0000
87,8,285,345,950,0.5432,0.0000,1.0000,6.0000
88,7,281,272,231,0.6754,0.0000,1.0000,2.0000
88,8,286,351,950,0.5432,0.0000,1.0000,6.0000
89,7,282,274,231,0.6754,0.0000,1.0000,2.0000
89,8,287,357,950,0.5432,0.0000,1.0000,6.0000
90,7,283,276,231,0.6754,0.0000,1.0000,2.0000
90,8,288,363,950,0.5432,0.0000,1.0000,6.0000
91,7,284,278,231,0.6754,0.0000,1.0000,2.0000
91,8,289,369,950,0.5432,0.0000,1.0000,6.0000
92,7,285,280,231,0.6754,0.0000,1.0000,2.0000
93,7,286,282,231,0.6754,0.0000,1.0000,2.0000
94,7,287,284,231,0.6754,0.0000,1.0000,2.0000
95,7,288,286,231,0.6754,0.0000,1.0000,2.0000
96,7,289,288,231,0.6754,0.0000,1.0000,2.0000
102,9,390,216,698,0.5007,0.0000,0.0000,-5.0000
103,9,396,203,704,0.5366,0.0000,6.0000,-13.0000
104,9,398,195,745,0.5414,0.0000,2.0000,-8.0000
105,9,400,179,763,0.5594,0.0000,2.0000,-16.0000
106,9,402,173,777,0.5756,0.0000,2.0000,-6.0000
107,9,402,161,770,0.5120,0.0000,0.0000,-12.0000
108,9,403,155,752,0.6812,0.0000,1.0000,-6.0000
108,10,276,4,125,0.7440,0.0000,2.0000,0.0000
109,9,402,147,764,0.4926,0.0000,-1.0000,-8.0000
109,10,278,5,135,0.8036,0.0000,2.0000,1.0000
110,9,400,134,811,0.5517,0.0000,-2.0000,-13.0000
110,10,279,6,274,0.6587,0.0000,1.0000,1.0000
111,9,399,127,817,0.5432,0.0000,-1.0000,-7.0000
111,10,276,12,621,0.7573,0.0000,-3.0000,6.0000
112,9,397,113,828,0.5121,0.0000,-2.0000,-14.0000
112,10,273,18,621,0.7573,0.0000,-3.0000,6.0000
113,9,396,108,845,0.5178,0.0000,-1.0000,-5.0000
113,10,270,24,621,0.7573,0.0000,-3.0000,6.0000
114,9,393,94,820,0.5230,0.0000,-3.0000,-14.0000
114,10,267,30,621,0.7573,0.0000,-3.0000,6.0000
115,9,391,88,784,0.5926,0.0000,-2.0000,-6.0000
115,10,264,36,621,0.7573,0.0000,-3.0000,6.0000
116,9,389,80,867,0.5419,0.0000,-2.0000,-8.0000
116,10,261,42,621,0.7573,0.0000,-3.0000,6.0000
117,9,388,65,852,0.5164,0.0000,-1.0000,-15.0000
117,10,258,48,621,0.7573,0.0000,-3.0000,6.0000
117,12,395,227,666,0.6307,0.0000,1.0000,6.0000
118,9,387,56,787,0.5124,0.0000,-1.0000,-9.0000
118,10,255,54,621,0.7573,0.0000,-3.0000,6.0000
118,12,394,228,507,0.7222,0.0000,-1.0000,1.0000
119,9,383,41,802,0.5115,0.0000,-4.0000,-15.0000
119,10,252,60,621,0.7573,0.0000,-3.0000,6.0000
119,12,395,232,217,0.6236,0.0000,1.0000,4.0000
120,9,383,35,764,0.4725,0.0000,0.0000,-6.0000
120,10,249,66,621,0.7573,0.0000,-3.0000,6.0000
120,12,393,234,81,0.7232,0.0000,-2.0000,2.0000
121,9,385,28,759,0.5101,0.0000,2.0000,-7.0000
121,10,246,72,621,0.7573,0.0000,-3.0000,6.0000
121,12,391,236,81,0.7232,0.0000,-2.0000,2.0000
122,9,384,16,641,0.5974,0.0000,-1.0000,-12.0000
122,10,243,78,621,0.7573,0.0000,-3.0000,6.0000
122,12,389,238,81,0.7232,0.0000,-2.0000,2.0000
123,9,385,13,495,0.5893,0.0000,1.0000,-3.0000
123,10,240,84,621,0.7573,0.0000,-3.0000,6.0000
123,12,387,240,81,0.7232,0.0000,-2.0000,2.0000
124,9,383,8,194,0.6340,0.0000,-2.0000,-5.0000
124,10,237,90,621,0.7573,0.0000,-3.0000,6.0000
124,12,385,242,81,0.7232,0.0000,-2.0000,2.0000
125,9,383,6,116,0.8056,0.0000,0.0000,-2.0000
125,10,234,96,621,0.7573,0.0000,-3.0000,6.0000
125,12,383,244,81,0.7232,0.0000,-2.0000,2.0000
126,9,383,4,116,0.8056,0.0000,0.0000,-2.0000
126,10,231,102,621,0.7573,0.0000,-3.0000,6.0000
126,12,381,246,81,0.7232,0.0000,-2.0000,2.0000
127,9,383,2,116,0.8056,0.0000,0.0000,-2.0000
127,10,228,108,621,0.7573,0.0000,-3.0000,6.0000
127,12,379,248,81,0.7232,0.0000,-2.0000,2.0000
128,9,383,0,116,0.8056,0.0000,0.0000,-2.0000
128,10,225,114,621,0.7573,0.0000,-3.0000,6.0000
128,12,377,250,81,0.7232,0.0000,-2.0000,2.0000
129,9,383,-2,116,0.8056,0.0000,0.0000,-2.0000
129,10,222,120,621,0.7573,0.0000,-3.0000,6.0000
129,12,375,252,81,0.7232,0.0000,-2.0000,2.0000
130,9,383,-4,116,0.8056,0.0000,0.0000,-2.0000
130,10,219,126,621,0.7573,0.0000,-3.0000,6.0000
130,12,373,254,81,0.7232,0.0000,-2.0000,2.0000
131,9,383,-6,116,0.8056,0.0000,0.0000,-2.0000
131,10,216,132,621,0.7573,0.0000,-3.0000,6.0000
131,12,371,256,81,0.7232,0.0000,-2.0000,2.0000
132,9,383,-8,116,0.8056,0.0000,0.0000,-2.0000
132,10,213,138,621,0.7573,0.0000,-3.0000,6.0000
132,12,369,258,81,0.7232,0.0000,-2.0000,2.0000
133,9,383,-10,116,0.8056,0.0000,0.0000,-2.0000
133,10,210,144,621,0.7573,0.0000,-3.0000,6.0000
133,12,367,260,81,0.7232,0.0000,-2.0000,2.0000
134,9,383,-12,116,0.8056,0.0000,0.0000,-2.0000
134,10,207,150,621,0.7573,0.0000,-3.0000,6.0000
134,12,365,262,81,0.7232,0.0000,-2.0000,2.0000
135,9,383,-14,116,0.8056,0.0000,0.0000,-2.0000
135,10,204,156,621,0.7573,0.0000,-3.0000,6.0000
135,12,363,264,81,0.7232,0.0000,-2.0000,2.0000
136,9,383,-16,116,0.8056,0.0000,0.0000,-2.0000
136,10,201,162,621,0.7573,0.0000,-3.0000,6.0000
136,12,361,266,81,0.7232,0.0000,-2.0000,2.0000
137,9,383,-18,116,0.8056,0.0000,0.0000,-2.0000
137,10,198,168,621,0.7573,0.0000,-3.0000,6.0000
137,12,359,268,81,0.7232,0.0000,-2.0000,2.0000
138,9,383,-20,116,0.8056,0.0000,0.0000,-2.0000
138,10,195,174,621,0.7573,0.0000,-3.0000,6.0000
138,12,357,270,81,0.7232,0.0000,-2.0000,2.0000
139,9,383,-22,116,0.8056,0.0000,0.0000,-2.0000
139,10,192,180,621,0.7573,0.0000,-3.0000,6.0000
139,12,355,272,81,0.7232,0.0000,-2.0000,2.0000
140,9,383,-24,116,0.8056,0.0000,0.0000,-2.0000
140,10,189,186,621,0.7573,0.0000,-3.0000,6.0000
140,12,353,274,81,0.7232,0.0000,-2.0000,2.0000
141,9,383,-26,116,0.8056,0.0000,0.0000,-2.0000
141,12,351,276,81,0.7232,0.0000,-2.0000,2.0000
142,9,383,-28,116,0.8056,0.0000,0.0000,-2.0000
142,12,349,278,81,0.7232,0.0000,-2.0000,2.0000
143,9,383,-30,116,0.8056,0.0000,0.0000,-2.0000
143,12,347,280,81,0.7232,0.0000,-2.0000,2.0000
144,9,383,-32,116,0.8056,0.0000,0.0000,-2.0000
144,12,345,282,81,0.7232,0.0000,-2.0000,2.0000
145,9,383,-34,116,0.8056,0.0000,0.0000,-2.0000
145,12,343,284,81,0.7232,0.0000,-2.0000,2.0000
146,9,383,-36,116,0.8056,0.0000,0.0000,-2.0000
146,12,341,286,81,0.7232,0.0000,-2.0000,2.0000
147,9,383,-38,116,0.8056,0.0000,0.0000,-2.0000
147,12,339,288,81,0.7232,0.0000,-2.0000,2.0000
148,9,383,-40,116,0.8056,0.0000,0.0000,-2.0000
148,12,337,290,81,0.7232,0.0000,-2.0000,2.0000
149,9,383,-42,116,0.8056,0.0000,0.0000,-2.0000
149,12,335,292,81,0.7232,0.0000,-2.0000,2.0000
150,9,383,-44,116,0.8056,0.0000,0.0000,-2.0000
151,9,383,-46,116,0.8056,0.0000,0.0000,-2.0000
152,9,383,-48,116,0.8056,0.0000,0.0000,-2.0000
153,9,383,-50,116,0.8056,0.0000,0.0000,-2.0000
153,15,248,11,472,0.5463,0.0000,-2.0000,2.0000
154,9,383,-52,116,0.8056,0.0000,0.0000,-2.0000
154,15,248,12,559,0.6324,0.0000,0.0000,1.0000
155,15,246,14,609,0.7000,0.0000,-2.0000,2.0000
156,15,244,17,741,0.7098,0.0000,-2.0000,3.0000
157,15,243,18,770,0.7176,0.0000,-1.0000,1.0000
158,15,242,19,804,0.6411,0.0000,-1.0000,1.0000
159,15,241,19,790,0.6497,0.0000,-1.0000,0.0000
160,15,240,17,757,0.6554,0.0000,-1.0000,-2.0000
161,15,238,17,763,0.6813,0.0000,-2.0000,0.0000
162,15,237,17,779,0.6546,0.0000,-1.0000,0.0000
163,15,237,17,870,0.5918,0.0000,0.0000,0.0000
164,15,238,16,1002,0.4912,0.0000,1.0000,-1.0000
165,15,244,15,1234,0.5262,0.0000,6.0000,-1.0000
166,15,250,16,1558,0.5541,0.0000,6.0000,1.0000
167,15,254,18,1679,0.5740,0.0000,4.0000,2.0000
168,15,282,31,940,0.5421,0.0000,28.0000,13.0000
168,17,110,213,694,0.5141,0.0000,1.0000,-8.0000
169,15,283,39,928,0.6313,0.0000,1.0000,8.0000
169,17,110,208,727,0.5450,0.0000,0.0000,-5.0000
170,15,284,50,934,0.5987,0.0000,1.0000,11.0000
170,17,110,202,733,0.5691,0.0000,0.0000,-6.0000
171,15,287,66,931,0.5425,0.0000,3.0000,16.0000
171,17,113,192,741,0.5489,0.0000,3.0000,-10.0000
172,15,287,75,952,0.6103,0.0000,0.0000,9.0000
172,17,114,187,761,0.5125,0.0000,1.0000,-5.0000
172,18,234,21,1331,0.4333,0.0000,3.0000,-1.0000
173,15,289,93,941,0.5548,0.0000,2.0000,18.0000
173,17,113,177,766,0.5870,0.0000,-1.0000,-10.0000
173,18,221,33,892,0.5963,0.0000,-13.0000,12.0000
174,15,288,100,938,0.5305,0.0000,-1.0000,7.0000
174,17,114,172,783,0.6000,0.0000,1.0000,-5.0000
174,18,218,36,913,0.5513,0.0000,-3.0000,3.0000
175,15,288,117,947,0.5691,0.0000,0.0000,17.0000
175,17,116,161,787,0.5402,0.0000,2.0000,-11.0000
175,18,213,43,911,0.5596,0.0000,-5.0000,7.0000
176,15,287,124,938,0.5899,0.0000,-1.0000,7.0000
176,17,115,157,762,0.5522,0.0000,-1.0000,-4.0000
176,18,210,48,892,0.5310,0.0000,-3.0000,5.0000
177,15,284,132,926,0.5744,0.0000,-3.0000,8.0000
177,17,115,151,803,0.5576,0.0000,0.0000,-6.0000
177,18,205,52,879,0.5642,0.0000,-5.0000,4.0000
177,19,272,57,908,0.5935,0.0000,3.0000,9.0000
177,20,344,220,484,0.5931,0.0000,0.0000,-4.0000
178,15,281,145,930,0.5526,0.0000,-3.0000,13.0000
178,17,113,140,775,0.6739,0.0000,-2.0000,-11.0000
178,18,197,58,908,0.5028,0.0000,-8.0000,6.0000
